# UTC Date    TIME   JUL    SEC
# YY  MM  DD  TIME   Day    Day       P>1          P>5          P>10         P>30         P>50        P>100
#===============================================================================================================
2024  02  09  0550  60349  21000  5.11967e+00  2.40672e-01  2.32672e-01  1.80672e-01  1.77672e-01  1.77672e-01
2024  02  09  0555  60349  21300  5.29201e+00  3.06007e-01  2.83007e-01  2.15007e-01  2.09007e-01  2.08007e-01
2024  02  09  0600  60349  21600  4.43367e+00  2.87673e-01  2.25673e-01  2.03673e-01  1.90673e-01  1.77673e-01
2024  02  09  0605  60349  21900  4.85501e+00  2.57006e-01  2.25006e-01  2.07006e-01  2.06006e-01  1.79006e-01
2024  02  09  0610  60349  22200  5.29167e+00  2.71673e-01  2.48673e-01  1.80673e-01  1.78673e-01  1.77673e-01
2024  02  09  0615  60349  22500  5.50534e+00  3.09340e-01  2.85340e-01  2.37340e-01  2.34340e-01  2.28340e-01
2024  02  09  0620  60349  22800  5.04267e+00  2.68673e-01  2.54673e-01  2.07673e-01  2.05673e-01  2.03673e-01
2024  02  09  0625  60349  23100  5.42101e+00  2.60005e-01  2.16005e-01  1.96005e-01  1.95005e-01  1.90005e-01
2024  02  09  0630  60349  23400  5.51201e+00  2.10006e-01  2.02006e-01  1.94006e-01  1.93006e-01  1.92006e-01
2024  02  09  0635  60349  23700  6.19534e+00  2.25340e-01  2.17340e-01  2.08340e-01  2.05340e-01  2.01340e-01
2024  02  09  0640  60349  24000  6.06367e+00  1.98672e-01  1.84672e-01  1.62672e-01  1.59672e-01  1.51672e-01
2024  02  09  0645  60349  24300  6.10534e+00  3.45338e-01  2.84338e-01  1.56338e-01  1.53338e-01  1.51338e-01
2024  02  09  0650  60349  24600  6.64467e+00  3.20674e-01  2.96674e-01  2.28674e-01  2.24674e-01  2.18674e-01
2024  02  09  0655  60349  24900  5.63101e+00  3.26006e-01  2.76006e-01  2.14006e-01  2.11006e-01  2.03006e-01
2024  02  09  0700  60349  25200  6.43267e+00  3.21673e-01  2.81673e-01  2.05673e-01  2.01673e-01  2.00673e-01
2024  02  09  0705  60349  25500  5.58967e+00  2.16673e-01  2.08673e-01  1.77673e-01  1.74673e-01  1.73673e-01
2024  02  09  0710  60349  25800  3.79067e+00  2.13673e-01  2.05673e-01  1.97673e-01  1.94673e-01  1.85673e-01
2024  02  09  0715  60349  26100  4.26867e+00  2.69673e-01  2.61673e-01  2.23673e-01  2.17673e-01  2.15673e-01
2024  02  09  0720  60349  26400  4.27601e+00  2.77006e-01  2.53006e-01  2.05006e-01  1.89006e-01  1.81006e-01
2024  02  09  0725  60349  26700  4.25267e+00  2.52673e-01  2.44673e-01  2.36673e-01  2.35673e-01  2.21673e-01
2024  02  09  0730  60349  27000  4.15934e+00  3.00338e-01  2.60338e-01  1.84338e-01  1.76338e-01  1.75338e-01
2024  02  09  0735  60349  27300  4.45434e+00  2.75339e-01  2.36339e-01  2.14339e-01  2.09339e-01  2.06339e-01
